Jours;Sains;Contamines;Infectes;Retablis;Morts
0;0.970000;0.030000;0.000000;0.000000;0.000000;
1;0.965635;0.028365;0.006000;0.000000;0.000000;
2;0.964766;0.023561;0.011313;0.000300;0.000060;
3;0.963128;0.020487;0.015346;0.000866;0.000173;
4;0.960909;0.018609;0.018523;0.001633;0.000327;
5;0.958233;0.017563;0.021133;0.002559;0.000512;
6;0.955186;0.017098;0.023378;0.003616;0.000723;
7;0.951820;0.017043;0.025395;0.004785;0.000957;
8;0.948173;0.017282;0.027280;0.006054;0.001211;
9;0.944263;0.017736;0.029099;0.007418;0.001484;
10;0.940102;0.018349;0.030901;0.008873;0.001775;
11;0.935695;0.019086;0.032716;0.010418;0.002084;
12;0.931043;0.019921;0.034571;0.012054;0.002411;
13;0.926141;0.020839;0.036481;0.013783;0.002757;
14;0.920985;0.021827;0.038460;0.015607;0.003121;
15;0.915567;0.022879;0.040518;0.017530;0.003506;
16;0.909880;0.023991;0.042662;0.019556;0.003911;
17;0.903915;0.025158;0.044901;0.021689;0.004338;
18;0.897662;0.026379;0.047238;0.023934;0.004787;
19;0.891112;0.027653;0.049680;0.026296;0.005259;
20;0.884255;0.028980;0.052230;0.028780;0.005756;
21;0.877081;0.030358;0.054892;0.031391;0.006278;
22;0.869580;0.031787;0.057670;0.034136;0.006827;
23;0.861743;0.033267;0.060567;0.037019;0.007404;
24;0.853560;0.034797;0.063587;0.040048;0.008010;
25;0.845022;0.036375;0.066731;0.043227;0.008645;
26;0.836121;0.038001;0.070002;0.046564;0.009313;
27;0.826850;0.039672;0.073402;0.050064;0.010013;
28;0.817200;0.041388;0.076932;0.053734;0.010747;
29;0.807166;0.043144;0.080594;0.057580;0.011516;
30;0.796742;0.044939;0.084387;0.061610;0.012322;
31;0.785926;0.046768;0.088311;0.065829;0.013166;
32;0.774713;0.048627;0.092366;0.070245;0.014049;
33;0.763103;0.050512;0.096550;0.074863;0.014973;
34;0.751096;0.052416;0.100859;0.079691;0.015938;
35;0.738695;0.054334;0.105291;0.084734;0.016947;
36;0.725904;0.056258;0.109840;0.089998;0.018000;
37;0.712729;0.058181;0.114501;0.095490;0.019098;
38;0.699180;0.060095;0.119267;0.101215;0.020243;
39;0.685266;0.061989;0.124130;0.107179;0.021436;
40;0.671003;0.063855;0.129080;0.113385;0.022677;
41;0.656406;0.065681;0.134106;0.119839;0.023968;
42;0.641494;0.067457;0.139196;0.126545;0.025309;
43;0.626289;0.069170;0.144336;0.133504;0.026701;
44;0.610816;0.070809;0.149510;0.140721;0.028144;
45;0.595101;0.072362;0.154701;0.148197;0.029639;
46;0.579175;0.073816;0.159891;0.155932;0.031186;
47;0.563070;0.075157;0.165061;0.163926;0.032785;
48;0.546821;0.076375;0.170189;0.172179;0.034436;
49;0.530464;0.077458;0.175253;0.180689;0.036138;
50;0.514037;0.078393;0.180229;0.189451;0.037890;
51;0.497581;0.079170;0.185094;0.198463;0.039693;
52;0.481307;0.079610;0.189822;0.207717;0.041543;
53;0.465248;0.079748;0.194355;0.217209;0.043442;
54;0.449271;0.079775;0.198643;0.226926;0.045385;
55;0.433421;0.079670;0.202679;0.236858;0.047372;
56;0.417898;0.079258;0.206453;0.246992;0.049398;
57;0.402729;0.078576;0.209917;0.257315;0.051463;
58;0.387792;0.077798;0.213037;0.267811;0.053562;
59;0.373125;0.076905;0.215815;0.278463;0.055693;
60;0.358896;0.075754;0.218247;0.289253;0.057851;
61;0.345117;0.074381;0.220303;0.300166;0.060033;
62;0.331684;0.072938;0.221961;0.311181;0.062236;
63;0.318620;0.071414;0.223231;0.322279;0.064456;
64;0.306052;0.069700;0.224120;0.333441;0.066688;
65;0.293980;0.067832;0.224613;0.344647;0.068929;
66;0.282313;0.065932;0.224702;0.355877;0.071175;
67;0.271063;0.063996;0.224407;0.367112;0.073422;
68;0.260314;0.061946;0.223741;0.378333;0.075667;
69;0.250057;0.059813;0.222706;0.389520;0.077904;
70;0.240218;0.057690;0.221306;0.400655;0.080131;
71;0.230795;0.055575;0.219566;0.411720;0.082344;
72;0.221841;0.053414;0.217507;0.422699;0.084540;
73;0.213338;0.051234;0.215139;0.433574;0.086715;
74;0.205229;0.049096;0.212478;0.444331;0.088866;
75;0.197504;0.047002;0.209548;0.454955;0.090991;
76;0.190191;0.044915;0.206376;0.465432;0.093086;
77;0.183271;0.042851;0.202976;0.475751;0.095150;
78;0.176699;0.040854;0.199368;0.485900;0.097180;
79;0.170461;0.038921;0.195577;0.495868;0.099174;
80;0.164570;0.037028;0.191626;0.505647;0.101129;
81;0.159008;0.035184;0.187534;0.515228;0.103046;
82;0.153739;0.033416;0.183319;0.524605;0.104921;
83;0.148751;0.031721;0.179003;0.533771;0.106754;
84;0.144046;0.030082;0.174607;0.542721;0.108544;
85;0.139608;0.028503;0.170147;0.551452;0.110290;
86;0.135411;0.027000;0.165639;0.559959;0.111992;
87;0.131443;0.025568;0.161100;0.568241;0.113648;
88;0.127701;0.024196;0.156548;0.576296;0.115259;
89;0.124173;0.022885;0.151994;0.584123;0.116825;
90;0.120838;0.021643;0.147452;0.591723;0.118345;
91;0.117686;0.020466;0.142933;0.599096;0.119819;
92;0.114714;0.019345;0.138450;0.606242;0.121248;
93;0.111910;0.018280;0.134012;0.613165;0.122633;
94;0.109260;0.017274;0.129628;0.619865;0.123973;
95;0.106756;0.016324;0.125305;0.626347;0.125269;
96;0.104392;0.015423;0.121051;0.632612;0.126522;
97;0.102161;0.014569;0.116873;0.638665;0.127733;
98;0.100051;0.013765;0.112774;0.644508;0.128902;
99;0.098056;0.013007;0.108761;0.650147;0.130029;
